"TimeCreated","EventID","Level","Source","LogName","SyncStatus","Message"
"9/22/2025 1:24:22 PM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlpsensitiveinfotypesconfiguration. Policy Hash: 638932049239802985-6a549edaba68cd46ccd3f3a92bdfb42a39061653"
"9/22/2025 1:24:20 PM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: ActionsOverridePolicy. Policy Hash: af6d6373b9575bce98f3a0163d8586d54c9d80bd"
"9/22/2025 1:24:20 PM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: ActionsOverridePolicy. Policy Hash: af6d6373b9575bce98f3a0163d8586d54c9d80bd"
"9/22/2025 1:24:19 PM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlpsensitiveinfotypesconfiguration. Policy Hash: 638932049239802985-6a549edaba68cd46ccd3f3a92bdfb42a39061653"
"9/22/2025 1:24:19 PM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlppolicyconfiguration. Policy Hash: 638929266290000000-bea4fa45a81fe987580c202490bbb194bcde9939"
"9/22/2025 1:24:16 PM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlppolicyconfiguration. Policy Hash: 638929266290000000-bea4fa45a81fe987580c202490bbb194bcde9939"
"9/22/2025 1:24:16 PM","131","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Success","Completed processing DLP policy type: dlpwebsitespolicyconfiguration. Policy Hash: 638932158538275308-765513cb7ed255f551fc2b636c5739e1b1cd9d84"
"9/22/2025 1:24:16 PM","130","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Received DLP policy type: dlpwebsitespolicyconfiguration. Policy Hash: 638932158538275308-765513cb7ed255f551fc2b636c5739e1b1cd9d84"
"9/22/2025 1:24:16 PM","66","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Policy update: Latency mode - normal"
"9/22/2025 1:24:12 PM","35","Information","Microsoft-Windows-SENSE","Microsoft-Windows-SENSE/Operational","Unknown","Communication quotas are updated. Disk quota in MB: 99, daily upload quota in MB: 99"
